抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期
2026-08-03,新歌榜,1,甲乙丙丁 (你我怎么两清),李佳薇,甲乙丙丁,2026-07-02
2026-08-03,新歌榜,2,唯我论者的独白,马嘉祺,唯我论者的独白,2026-07-27
2026-08-03,新歌榜,3,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18
2026-08-03,新歌榜,4,过海,王赫野/黄龄,过海,2026-07-16
2026-08-03,新歌榜,5,吹吹山顶的风,巴扎黑,吹吹山顶的风,2026-07-05
2026-08-03,新歌榜,6,MOTION (feat. Juicy J),CORTIS/Juicy J,MOTION (feat. Juicy J),2026-07-31
2026-08-03,新歌榜,7,Glue,希林娜依高,Glue,2026-07-31
2026-08-03,新歌榜,8,也许你就在对岸,张杰,也许你就在对岸,2026-07-30
2026-08-03,新歌榜,9,讨厌情歌,张艺兴,斗战胜佛,2026-07-03
2026-08-03,新歌榜,10,失重色,世勋,失重色,2026-07-29
2026-08-03,新歌榜,11,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18
2026-08-03,新歌榜,12,耀眼的我们,周深,耀眼的我们,2026-08-01
2026-08-03,新歌榜,13,留白,吴炳文,留白,2026-07-23
2026-08-03,新歌榜,14,周旋,王以太/艾热AIR,太热爱,2026-07-12
2026-08-03,新歌榜,15,山风山风等等我,万海东,山风山风等等我,2026-07-20
2026-08-03,新歌榜,16,我曾,菜园子不CAi,我曾,2026-07-14
2026-08-03,新歌榜,17,一直下,陈宇祥,一直下,2026-07-04
2026-08-03,新歌榜,18,KISS N TELL,aespa,KISS N TELL,2026-07-23
2026-08-03,新歌榜,19,媚人,薛之谦,媚人,2026-07-17
2026-08-03,新歌榜,20,如约,周深,如约,2026-07-26
2026-08-03,新歌榜,21,petal,Ariana Grande,petal (Explicit),2026-07-31
2026-08-03,新歌榜,22,踏马寻花向自由,半吨兄弟,踏马寻花向自由,2026-07-07
2026-08-03,新歌榜,23,黄昏(纵然青丝如霜),正在进行石女士,黄昏(纵然青丝如霜)(深情版),2026-07-22
2026-08-03,新歌榜,24,我会好好的,黑豆ado,我会好好的（氛围版）,2026-07-02
2026-08-03,新歌榜,25,清明上河图（同花顺进行曲）,周深深,清明上河图（同花顺进行曲）,2026-07-18
2026-08-03,新歌榜,26,北京的雨,张艺兴,斗战胜佛,2026-07-03
2026-08-03,新歌榜,27,kiss me,Ariana Grande,petal (Explicit),2026-07-31
2026-08-03,新歌榜,28,你的眼神(像一阵细雨洒落我心底),晚月moon/Big Cole,你的眼神(像一阵细雨洒落我心底),2026-07-03
2026-08-03,新歌榜,29,岁月如笔写春秋EDM,花姐,岁月如笔写春秋,2026-07-03
2026-08-03,新歌榜,30,别在伤口撒盐,赵家豪,别在伤口撒盐 (男声版),2026-07-13
2026-08-03,新歌榜,31,别哭 我最爱的人,周深深,别哭 我最爱的人（氛围版）,2026-07-10
2026-08-03,新歌榜,32,红颜旧,周深深,红颜旧（氛围版）,2026-07-10
2026-08-03,新歌榜,33,放弃的界限,张敬轩,放弃的界限,2026-07-30
2026-08-03,新歌榜,34,我不愿看到你流泪的眼睛,404Hz/DJariium/YYYu,爱从不容许人三心两意 (鼓点节奏版),2026-07-02
2026-08-03,新歌榜,35,我难过,毒药,我难过 （R&B版）,2026-07-10
2026-08-03,新歌榜,36,听无声处,周深,听无声处,2026-07-30
2026-08-03,新歌榜,37,WET,J.Y. Park,WET,2026-07-23
2026-08-03,新歌榜,38,Animal,KATSEYE,Animal,2026-07-27
2026-08-03,新歌榜,39,别回头 别停留 往前走,苏子墨,别回头 别停留 往前走（宿命版）,2026-07-16
2026-08-03,新歌榜,40,竞速游戏,TOP登陆少年组合,竞速游戏,2026-07-25
2026-08-03,新歌榜,41,如果你也刚好抬头看树,孙天宇,如果你也刚好抬头看树,2026-07-20
2026-08-03,新歌榜,42,oh well,Ariana Grande,petal (Explicit),2026-07-31
2026-08-03,新歌榜,43,落笔匆匆,余佳运/井迪,落笔匆匆·开始奏乐开始舞,2026-07-26
2026-08-03,新歌榜,44,红尘慌慌,周深,百花杀 原声音乐专辑,2026-07-28
2026-08-03,新歌榜,45,窝囊废,刘凤瑶/曾一鸣/张玮/李琦/派克特,窝囊废,2026-07-09
2026-08-03,新歌榜,46,我只要我开心,时代少年团,我只要我开心,2026-07-13
2026-08-03,新歌榜,47,光阴的故事,轻烟大叔,光阴的故事,2026-07-14
2026-08-03,新歌榜,48,都有这一天,老中青民谣/小巷先生,都有这一天,2026-07-14
2026-08-03,新歌榜,49,踏马寻花向自由,轻烟大叔,踏马寻花向自由(雷鬼版),2026-07-07
2026-08-03,新歌榜,50,Badi Badi,王俊凯,WJK,2026-07-08
2026-08-03,新歌榜,51,stay,Ariana Grande,petal (Explicit),2026-07-31
2026-08-03,新歌榜,52,灵魂相愿,张敬轩,灵魂相愿,2026-07-31
2026-08-03,新歌榜,53,这场雨下完就忘了你,戎大姨,这场雨下完就忘了你,2026-07-11
2026-08-03,新歌榜,54,香烟与吻痕 (我在月光下许过情真),黄龄,香烟与吻痕,2026-07-06
2026-08-03,新歌榜,55,花落花,陈少熙,花落花,2026-07-29
2026-08-03,新歌榜,56,"nowhere, nobody",Ariana Grande,petal (Explicit),2026-07-31
2026-08-03,新歌榜,57,英雄出处,高冷,英雄出处,2026-07-05
2026-08-03,新歌榜,58,hate that i made you love me,Ariana Grande,petal (Explicit),2026-07-31
2026-08-03,新歌榜,59,你我他,en (王翊恩),你我他,2026-07-31
2026-08-03,新歌榜,60,可惜我是水瓶座,励志豪,可惜我是水瓶座（R&B版）,2026-07-16
2026-08-03,新歌榜,61,多疑的恋人,王赫野,珍宝 Starlight,2026-06-21
2026-08-03,新歌榜,62,Less than a Lover,JENNIE,Less than a Lover,2026-07-24
2026-08-03,新歌榜,63,你的眼神,周深深,你的眼神,2026-07-04
2026-08-03,新歌榜,64,若不是因为你,赵乃吉,若不是因为你,2026-07-05
2026-08-03,新歌榜,65,Pretty Much（半夏心动）,赵希予,Pretty Much（半夏心动）,2026-07-17
2026-08-03,新歌榜,66,走错太多路,戎大姨,走错太多路(治愈版),2026-07-04
2026-08-03,新歌榜,67,张三的歌,曲肖冰/凤璃,张三的歌,2026-07-09
2026-08-03,新歌榜,68,big feelings,Ariana Grande,petal (Explicit),2026-07-31
2026-08-03,新歌榜,69,freak,Ariana Grande,petal (Explicit),2026-07-31
