抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-17,影視金曲榜,32,モンストロ,Ado,モンストロ,2026-08-07,4IKHox-DKrM,"3,229,567",日語
2026-08-17,影視金曲榜,33,All For You,Eric周兴哲,All For You,2026-07-16,osyH9yWWygA,"12,507,606",華語
2026-08-17,影視金曲榜,34,Blind Spot,토모/원식 (WONSIK),검사실의 제안 OST Part.2,2026-06-26,ETiDRVhexco,"86,514",韓語
2026-08-17,影視金曲榜,35,赤子,周深,问心2 原声OST大碟,2026-06-20,wOpAuisJFVg,"77,863",華語
2026-08-17,影視金曲榜,36,倒悬之河,徐均朔/阿YueYue,百花杀 原声音乐专辑,2026-07-28,xNVtmoES0WQ,"54,615",華語
2026-08-17,影視金曲榜,37,繁花流年,希林娜依高,九门 影视原声带,2026-08-10,BLW69Na62E0,"4,306",華語
2026-08-17,影視金曲榜,38,袖里长风,张远,百花杀 原声音乐专辑,2026-07-28,Up45ZAjL8_A,"35,912",華語
2026-08-17,影視金曲榜,39,Work,Ava Max/PAW Patrol,Work (from PAW Patrol: The Dino Movie),2026-07-31,cJRw7rYOOzA,"512,578",西洋
2026-08-17,影視金曲榜,40,一诺成川,侯明昊,雀骨 影视原声带,2026-07-15,L_BElNLdnEE,"116,846",華語
2026-08-17,影視金曲榜,41,Metal Flower,R.E.D,Metal Flower,2026-07-11,vFzq2TaeLkU,"14,557",西洋
2026-08-17,影視金曲榜,42,时差,Jeffrey董又霖,耀眼 影视原声带,2026-06-02,SI2SPivo8bA,"95,167",華語
2026-08-17,影視金曲榜,43,奢求,淑元/奥利,奢求,2026-07-31,tMk9RRRbKP4,"10,420",華語
2026-08-17,影視金曲榜,44,All I Can Say Is,LOUIS of LNGSHOT,오싹한 연애 OST Part 5,2026-08-08,FgUtOcBJoVI,"350,287",西洋
2026-08-17,影視金曲榜,45,执棋,张靓颖,翘楚 电视剧影视原声带,2026-06-08,yj98tMDi6Xw,"283,509",華語
2026-08-17,影視金曲榜,46,Brand New,Mrs. GREEN APPLE,Brand New,2026-07-13,dePs7UPp6GQ,"16,462,397",日語
2026-08-17,影視金曲榜,47,黄沙骨,费宇涛,黄沙骨,2026-08-08,u8iPXKbwOsc,"1,799",華語
2026-08-17,影視金曲榜,48,Tiger in my love,奥利,Tiger in my love,2026-06-26,vhIfGl5Hr0U,"167,090",西洋
2026-08-17,影視金曲榜,49,知我,刘雨昕,雀骨 影视原声带,2026-07-15,awKxszb6PL4,"88,007",華語
2026-08-17,影視金曲榜,50,见幸福,郁可唯,见幸福,2026-06-11,-Xps4sA6joA,"161,747",華語
2026-08-17,影視金曲榜,51,花影,希林娜依高,百花杀 原声音乐专辑,2026-07-28,4bvtmJf3kgM,"38,464",華語
2026-08-17,影視金曲榜,52,仙古星河,泠河,仙古星河,2026-08-08,tCDDeS4Oamw,"39,194",華語
2026-08-17,影視金曲榜,53,山河荒,阿云嘎,九门 影视原声带,2026-08-10,QR3gtJhpgp0,"4,550",華語
2026-08-17,影視金曲榜,54,心世界,周深,心世界,2026-06-06,EW-UO70eVL8,"241,365",華語
2026-08-17,影視金曲榜,55,틀린그림찾기,Wonstein,최애의 사원 OST Part 1,2026-08-04,8i4-lw32qcw,"2,200,776",韓語
2026-08-17,影視金曲榜,56,未烬之火,沙宝亮,这一秒过火 影视原声带,2026-07-18,-A41w3MHS-4,"30,925",華語
2026-08-17,影視金曲榜,57,再珍重,黄景瑜,重器 电视原声带,2026-08-11,JKMwGrEBxjo,742,華語
2026-08-17,影視金曲榜,58,弥散,逢安,弥散,2026-08-08,xdsIqAitsUM,"5,281",華語
2026-08-17,影視金曲榜,59,想你了,刘瑞琦,想你了 电影原声专辑,2026-07-24,XFGYYNz7gbw,"1,007",華語
2026-08-17,影視金曲榜,60,추억이란 이름 (Sailing Back To You),Jeebanoff,그대에게 드림 OST Part.2 (Dream to You OST Part.2),2026-07-14,XWm35wuGqvY,"38,099",韓語
2026-08-17,影視金曲榜,61,蚱蜢跃入星空,王源,蚱蜢跃入星空,2026-06-19,41MkOkGmSQY,"1,824",華語
2026-08-17,影視金曲榜,62,因果,段奥娟,雀骨 影视原声带,2026-07-15,rQYrp9dzCOA,"42,720",華語
2026-08-17,影視金曲榜,63,漫过无尽岁月,张新成,南部档案 影视原声带,2026-06-11,mSyU8k_hRDY,"53,014",華語
2026-08-17,影視金曲榜,64,你只是你,谭维维,你只是你,2026-06-29,wiA0u-YQG7Q,595,華語
2026-08-17,影視金曲榜,65,孤光,张新成,南部档案 影视原声带,2026-06-11,aN4OnHZchmQ,"63,744",華語
2026-08-17,影視金曲榜,66,贴心,梁咏琪,这一秒过火 影视原声带,2026-07-18,dSX7D6XBGKY,"15,957",華語
2026-08-17,影視金曲榜,67,吻合,袁娅维TIA RAY/张远,吻合,2026-06-16,6ZI8JD54-dY,"99,996",華語
2026-08-17,影視金曲榜,68,正义的容颜,宗俊涛,重器 电视原声带,2026-08-11,7ZhzdmUb3PQ,30,華語
2026-08-17,影視金曲榜,69,渡,周深,渡,2026-06-09,T_6vMCU50t0,"2,300,991",華語
2026-08-17,影視金曲榜,70,风与花,何与,百花杀 原声音乐专辑,2026-07-28,_Sjd3NVh1og,"16,920",華語
2026-08-17,影視金曲榜,71,偷黄昏的人,莫非定律乐团,天才，女友 影视原声带,2026-08-04,ORY0PmRHxD4,"2,592",華語
2026-08-17,影視金曲榜,72,Behind The Shine,RIIZE,21세기 대군부인 OST Special,2026-05-16,3sKKVJ_jfAs,"3,214,158",韓語
2026-08-17,影視金曲榜,73,何故,刘宇宁,云秀行 影视原声带,2026-06-23,n5yL35f1IKI,"76,488",華語
2026-08-17,影視金曲榜,74,破晓以后,胡彦斌,破晓以后,2026-07-27,U_2HmXsOqgs,"13,899",華語
2026-08-17,影視金曲榜,75,人生自定义,那英,小芳 电视剧影视原声带,2026-07-13,IeZjH-TRqbY,"4,467",華語
2026-08-17,影視金曲榜,76,耀眼,刘宇宁,耀眼 影视原声带,2026-06-02,pmiR74HbSjI,"237,054",華語
2026-08-17,影視金曲榜,77,照心,段奥娟,南部档案 影视原声带,2026-06-11,-bzOKKOzEFs,"24,710",華語
2026-08-17,影視金曲榜,78,When I’m Home,James Blake/Travis Scott/Ludwig Göransson,The Odyssey (Original Motion Picture Soundtrack),2026-07-17,zTdDQ7v_Lb8,"1,138,812",西洋
2026-08-17,影視金曲榜,79,Stay With Me,DK,오싹한 연애 OST Part 2,2026-07-26,5cglnHp1mmo,"1,620,407",韓語
2026-08-17,影視金曲榜,80,人间聚散,房东的猫,问心2 原声OST大碟,2026-06-20,GEEXrDHsveU,"43,350",華語
2026-08-17,影視金曲榜,81,粲然与你,张景昀/赵奂然,南戏 影视原声带,2026-08-11,eekYm7kNm0w,117,華語
2026-08-17,影視金曲榜,82,Happy Rain,10CM,이런 엿같은 사랑 (Soundtrack from the Netflix Series),2026-08-07,Bri-jlRm2uo,"59,738",韓語
2026-08-17,影視金曲榜,83,Paper Flower,李遐怡,유부녀 킬러 OST Part 1,2026-08-01,tGyEwvglfxk,"75,714",韓語
2026-08-17,影視金曲榜,84,别忘了,岑宁儿,想你了 电影原声专辑,2026-07-24,ZpmbCnbVaOY,"3,202",華語
2026-08-17,影視金曲榜,85,吹向花开,希林娜依高,灿如繁星 影视原声带,2026-07-06,gcSdKIvM0bA,"9,832",華語
2026-08-17,影視金曲榜,86,Be My Light,段奥娟,天才，女友 影视原声带,2026-08-04,Et-oDExde-E,"10,333",華語
2026-08-17,影視金曲榜,87,如果宇宙有答案,黄子弘凡,如果宇宙有答案,2026-07-25,4kXZl6yf4-I,703,華語
2026-08-17,影視金曲榜,88,奉陪,陈伟霆,九门 影视原声带,2026-08-10,ljJt5MUWYyo,"8,054",華語
2026-08-17,影視金曲榜,89,上岸,任然,千香 影视剧原声音乐专辑,2026-07-15,uon3hUO0eI8,"12,311",華語
2026-08-17,影視金曲榜,90,方寸之间,白鹿/丞磊,方寸之间,2026-06-03,mykryGzMQ70,"163,094",華語
2026-08-17,影視金曲榜,91,Already Free,ALEPH,21세기 대군부인 OST Special,2026-05-16,_tr0Q042nVo,"926,294",西洋
2026-08-17,影視金曲榜,92,寸断,张远,千香 影视剧原声音乐专辑,2026-07-15,NGsMs7MGjUs,"19,045",華語
2026-08-17,影視金曲榜,93,夜鷹 - Yodaka,米津玄師,夜鷹 - Yodaka,2026-07-13,83dumZPbq-o,"9,086",日語
2026-08-17,影視金曲榜,94,一百颗星星,关晓彤/李昀锐,耀眼 影视原声带,2026-06-02,GbHiF2op4rQ,"180,187",華語
2026-08-17,影視金曲榜,95,No Mercy,DPR IAN,"재벌X형사2 OST Part.1(Flex x Cop 2, Pt. 1 (Original Soundtrack))",2026-08-07,6kVMjQSnIzs,"106,002",西洋
2026-08-17,影視金曲榜,96,Marionette,제나 (ZENA),검사실의 제안 OST Part.1,2026-06-19,MBVvRUJGyxU,"64,706",韓語
2026-08-17,影視金曲榜,97,再叙,王晰,再叙,2026-07-23,aPjXEc6ziHc,"1,225",華語
2026-08-17,影視金曲榜,98,一路荣光,黄霄雲,云秀行 影视原声带,2026-06-23,Oa7bcygFWUY,"70,183",華語
2026-08-17,影視金曲榜,99,练习,打扰一下EXCUSE ME,灿如繁星 影视原声带,2026-07-06,7-gMQPuq690,"25,995",華語
2026-08-17,影視金曲榜,100,成全,井胧,雀骨 影视原声带,2026-07-15,h6rcI296mSI,"22,172",華語
