抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-12,綜藝新歌榜,48,电子布洛芬,AThree/那奇沃夫,说唱巅峰对决2026 第6期,2026-08-01,6C1hjh8zXTk,"34,996",華語
2026-08-12,綜藝新歌榜,49,歌曲：梦底,海来阿木/刘浩存,2026中央广播电视总台春节联欢晚会,2026-02-16,vL0kVZoQpEQ,"549,207",華語
2026-08-12,綜藝新歌榜,50,无人之岛,罗云熙/姚晓棠,天赐的声音第七季 第5期,2026-07-10,O4B9YOoY158,"809,043",華語
2026-08-12,綜藝新歌榜,51,Dats Me (通通是我),Top Barry,说唱巅峰对决2026 第5期,2026-07-25,m6jb1G1arYE,"62,551",華語
2026-08-12,綜藝新歌榜,52,白自在,胡彦斌,歌手2026 第11期,2026-08-01,WKw9rbKMjCc,"32,753",華語
2026-08-12,綜藝新歌榜,53,同花顺,宋亚轩,国乐无双 第5期,2026-06-20,WruTIPGb84U,"135,401",華語
2026-08-12,綜藝新歌榜,54,半点心,王铮亮/灼海豚乐队,天赐的声音第七季 第8期,2026-07-31,UAqa0DG7csU,"7,095",華語
2026-08-12,綜藝新歌榜,55,西厢寻他,黄霄雲/刘宇,天赐的声音第七季 第5期,2026-07-10,bEYpckbqqhs,"4,121,316",華語
2026-08-12,綜藝新歌榜,56,暗涌,萨顶顶,国乐无双 第10期,2026-08-01,CA10OyyU2nA,"21,537",華語
2026-08-12,綜藝新歌榜,57,亲爱的你，好久不见,黄子弘凡/黄霄雲/孙楠/谭松韵/王铮亮/杨丞琳/姚晓棠/曾舜晞,《天赐的声音第七季》综艺主题曲,2026-06-12,Z6SeWv1-etI,"20,947",華語
2026-08-12,綜藝新歌榜,58,爱错,王铮亮/黄子弘凡,天赐的声音第七季 第6期,2026-07-17,7Oo9x9gGUNQ,"88,726",華語
2026-08-12,綜藝新歌榜,59,一个人想着一个人,姚晓棠/王栎鑫,天赐的声音第七季 第2期,2026-06-19,7OSCbE5cs3M,"913,846",華語
2026-08-12,綜藝新歌榜,60,Forever (永不凋零),弹壳/BrAnTB白景屹,说唱巅峰对决2026 第3期,2026-07-11,udB18Ur5Tgo,"39,060",華語
2026-08-12,綜藝新歌榜,61,雪崩,魏如萱,歌手2026 第10期,2026-07-25,PY9BsbHcMXg,"19,806",華語
2026-08-12,綜藝新歌榜,62,Trouble Maker (麻烦你了),那奇沃夫/Yamy郭颖,说唱巅峰对决2026 第3期,2026-07-11,BcR8bAFlFb4,"307,228",華語
2026-08-12,綜藝新歌榜,63,是非题,王赫野,音你而来3 第1期,2026-04-10,sc9LdPzku6Y,"1,657,201",華語
2026-08-12,綜藝新歌榜,64,手掌,盛宇D-SHINE/加木,说唱巅峰对决2026 第3期,2026-07-11,4W3xtg7jLVo,"63,901",華語
2026-08-12,綜藝新歌榜,65,人生路漫漫,孙楠/白小白/加木,天赐的声音第七季 第1期,2026-06-12,Juof_QKfgn8,"27,632",華語
2026-08-12,綜藝新歌榜,66,马桑树下,RANZER叶润泽/早安,说唱巅峰对决2026 第6期,2026-08-01,1p4ZGPzpbPI,"12,504",華語
2026-08-12,綜藝新歌榜,67,尕连手,赵骏,魔力歌先生 第9期,2026-05-08,BgY8FqEM5mQ,"19,046",華語
2026-08-12,綜藝新歌榜,68,第一次爱的人,姚晓棠/袁一琦,音你而来3 第8期,2026-05-29,EQBkiZKP-DA,"39,476",華語
2026-08-12,綜藝新歌榜,69,最好的伴,宝石Gem,最好的伴,2026-06-25,zmJGRcO0wKw,"5,083",華語
2026-08-12,綜藝新歌榜,70,我好想你•一 一,王菀之,国乐无双 第4期,2026-06-13,ctWxU3u2JD8,"87,971",華語
2026-08-12,綜藝新歌榜,71,梦底,张碧晨/海来阿木,歌手2026 第3期,2026-06-06,vL0kVZoQpEQ,"549,207",華語
2026-08-12,綜藝新歌榜,72,我要找到你,刘惜君,国乐无双 第5期,2026-06-20,DtXgoZG_Q8E,"76,993",華語
2026-08-12,綜藝新歌榜,73,爱人错过,王菀之,国乐无双 第9期,2026-07-25,E52qnW59iEE,"33,419,399",華語
2026-08-12,綜藝新歌榜,74,是你没选我啊,张新成/吉娜·爱丽丝,音你而来3 第9期,2026-06-05,Fv8K_Opd-_o,"21,211",華語
2026-08-12,綜藝新歌榜,75,忐白门,莫文蔚,国乐无双 第6期,2026-06-27,6vKU1g2Fgm0,"77,942",華語
2026-08-12,綜藝新歌榜,76,嘿陈会计,Rapeter,说唱巅峰对决2026 第4期,2026-07-18,F5cdOTuaUmM,"85,915",華語
2026-08-12,綜藝新歌榜,77,我爱的是爱我的你,杨宗纬/高睿,天赐的声音第七季 第5期,2026-07-10,KPnvtYmFe9c,"107,170",華語
2026-08-12,綜藝新歌榜,78,有我呢,陈楚生/姚晓棠,天赐的声音第七季 第3期,2026-06-26,nSz9i_Xq26Y,"267,509",華語
2026-08-12,綜藝新歌榜,79,River (河流),吉克隽逸/高睿,天赐的声音第七季 第7期,2026-07-24,5VW_Ci-hfxA,"3,532",華語
2026-08-12,綜藝新歌榜,80,寂寞寂寞不好,Ghost (王琳凯)/张新成,音你而来 - 特别解锁,2026-04-17,2N5Toskbpvo,"18,957",華語
2026-08-12,綜藝新歌榜,81,喜欢,杨丞琳/周笔畅,天赐的声音第七季 第3期,2026-06-26,TjRROzDZesk,"120,551",華語
2026-08-12,綜藝新歌榜,82,改变,窦靖童,歌手2026 第10期,2026-07-25,WXpbugS_RRY,"48,765",西洋
2026-08-12,綜藝新歌榜,83,迟迟,薛之谦,天赐的声音第七季 第1期,2026-06-12,v41tTfBMxvw,"713,081",華語
2026-08-12,綜藝新歌榜,84,你看你看月亮的脸,张磊,魔力歌先生 第1期,2026-03-13,xgZRTzxcJHU,"42,591",華語
2026-08-12,綜藝新歌榜,85,心引力,周笔畅/田嘉瑞,天赐的声音第七季 第7期,2026-07-24,zfKyiLmtZeA,"25,431",華語
2026-08-12,綜藝新歌榜,86,孤单北半球,王赫野/张星特,音你而来3 第3期,2026-04-24,ZkZGMN623zQ,"166,646",華語
2026-08-12,綜藝新歌榜,87,一样的月光,曾沛慈,乘风2026 第7期,2026-05-23,J28oOfvNVD8,"9,755,186",華語
2026-08-12,綜藝新歌榜,88,签名笔,Rapeter,说唱巅峰对决2026 第1期,2026-06-27,uZZojQhMapw,"201,817",華語
2026-08-12,綜藝新歌榜,89,Don't Break My Heart,窦靖童,歌手2026 第1期,2026-05-23,klCd4FKdTWc,"1,801,382",華語
2026-08-12,綜藝新歌榜,90,胆小鬼,宋亚轩,国乐无双 第2期,2026-05-30,uS96KF4V_VA,"173,377",華語
2026-08-12,綜藝新歌榜,91,PeterPen (彼得潘),Rapeter/功夫胖KUNGFU-PEN,说唱巅峰对决2026 第3期,2026-07-11,pEUK51Fomt0,"168,653",華語
2026-08-12,綜藝新歌榜,92,匿名的好友,杨丞琳/黄子弘凡,天赐的声音第七季 第2期,2026-06-19,s9hGDIpwfXw,"18,415,597",華語
2026-08-12,綜藝新歌榜,93,心碎双面胶,黄旭,说唱巅峰对决2026 第5期,2026-07-25,JJWjST_D4fc,"33,965",華語
2026-08-12,綜藝新歌榜,94,纯妹妹,金志文,国乐无双 第9期,2026-07-25,pIfN_81SpgA,"6,615",華語
2026-08-12,綜藝新歌榜,95,夜来香,宋亚轩,国乐无双 第8期,2026-07-18,AoqEpnoNPHU,"31,433",華語
2026-08-12,綜藝新歌榜,96,Surprise (惊喜),早安,说唱巅峰对决2026 第2期,2026-07-04,U3i8jJNLuT0,"217,335",華語
2026-08-12,綜藝新歌榜,97,不同凡想,万妮达Vinida Weng,歌手2026 第10期,2026-07-25,AwvjyyC2_f4,"20,764",華語
2026-08-12,綜藝新歌榜,98,第三个吻痕,黄子弘凡/姚晓棠,天赐的声音第七季 第4期,2026-07-03,3iWQyS4vSFs,"218,734",華語
2026-08-12,綜藝新歌榜,99,爱情转移,欢子/周柏豪,天赐的声音第七季 第4期,2026-07-03,sRKFWX1CAwE,"146,869",華語
2026-08-12,綜藝新歌榜,100,到此为止,尤长靖,歌手2026 第10期,2026-07-25,59zO4rIqcno,"53,040",華語
