抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-07,新歌榜,1,再一次见面,周深,再一次见面,2026-09-06,0021HGmn1wHoOJ,華語,ezy0WMuqWwo,"53,493"
2026-09-07,新歌榜,2,天生刺猬,张月,天生刺猬,2026-08-31,00024goq00gZd9,華語,HaL5Y1j2bbo,"8,188"
2026-09-07,新歌榜,3,她,刘宇宁,早春晴朗 影视原声带,2026-09-01,001TBn1W4Wg2QM,華語,7Buj2xUlZo0,"105,553"
2026-09-07,新歌榜,4,远不止你我,刘宇,远不止你我 (《斗破苍穹年番4》动画片尾曲&推广曲),2026-09-05,002YMdd93lQlOY,華語,8cLdV0j9e5U,"1,560"
2026-09-07,新歌榜,5,SUN KISS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,003sbk7o3sytRU,西洋,46h0LvDHgIs,"17,043,653"
2026-09-07,新歌榜,6,没有你是漫长雨季,梓渝,梓渝,2026-08-05,000eMXbM0hmJmi,華語,upblmi2XwGs,"14,024"
2026-09-07,新歌榜,7,说文解字,灯叔/方大树,说文解字,2026-08-29,000bCM2f3nhooK,華語,45OKCZb0Zlk,"16,620"
2026-09-07,新歌榜,8,失忆,李佳薇,失忆,2026-09-05,004DtEju33F124,華語,x-oZXNIlJu0,"13,254"
2026-09-07,新歌榜,9,飞鸟,宋茜,飞鸟,2026-09-05,000fcGiA3Qx1xR,華語,A44oIQoIWp8,"7,380"
2026-09-07,新歌榜,10,路过晴朗,汪苏泷,早春晴朗 影视原声带,2026-09-01,001Mu0Lw3X3LnQ,華語,2TUe-RESXeE,"161,940"
2026-09-07,新歌榜,11,我不难过,en (王翊恩),我不难过,2026-09-03,0038DoVG1Lg3kE,華語,WuS9D82hSV4,"26,867"
2026-09-07,新歌榜,12,昨天，今天,莫文蔚,昨天，今天,2026-08-25,003G4D6x1e8J8k,華語,Z92SE7ZSTRg,"25,860"
2026-09-07,新歌榜,13,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,000NfrvW429sMm,西洋,UsbRoaH6y-Q,"9,163,324"
2026-09-07,新歌榜,14,删了一百遍,A-Lin,删了一百遍,2026-09-01,000Q8gRW2WkkDS,華語,HzpDg83IElA,"168,398"
