抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-19,抖音熱歌榜,1,恋人,李荣浩,黑马,2024-10-18,5RlEWndW0bE,"5,281,984",華語
2026-08-19,抖音熱歌榜,2,晴天,周杰伦,叶惠美,2003-07-31,DYptgVvkVLQ,"95,607,974",華語
2026-08-19,抖音熱歌榜,3,Always Online,林俊杰,JJ陆,2008-10-18,-gqfAzw6FQo,"8,175,559",華語
2026-08-19,抖音熱歌榜,4,情歌,梁静茹,静茹 & 情歌 别再为他流泪,2009-01-16,itjyryJ-8IU,"26,860,737",華語
2026-08-19,抖音熱歌榜,5,红尘客栈,周杰伦,十二新作,2012-12-28,L6joGUdc6y4,"45,125,561",華語
2026-08-19,抖音熱歌榜,6,我怀念的,孙燕姿,逆光,2007-03-22,G7uSHzyVAwg,"42,111,575",華語
2026-08-19,抖音熱歌榜,7,春娇与志明,街道办GDC/欧阳耀莹,春娇与志明,2017-06-25,TvSLCxXyrBA,"54,321,849",華語
2026-08-19,抖音熱歌榜,8,雨爱,杨丞琳,雨爱,2010-01-01,oec9R5ypf-o,"39,816,637",華語
2026-08-19,抖音熱歌榜,9,特别的人,方大同,危险世界,2014-04-11,IscPlLsh6iU,"31,557,329",華語
2026-08-19,抖音熱歌榜,10,ANGEL,尹美莱/Tiger JK/Bizzy,Angel,2014-12-08,sXP4uMm0teA,"19,179,853",韓語
2026-08-19,抖音熱歌榜,11,搁浅,周杰伦,七里香,2004-08-03,YJfHuATJYsQ,"82,304,960",華語
2026-08-19,抖音熱歌榜,12,盛夏的果实,莫文蔚,NO.1新曲精选全记录20首,2000-06-01,N2d9vPacdmw,"5,947,718",華語
2026-08-19,抖音熱歌榜,13,唯一,G.E.M. 邓紫棋,T.I.M.E.,2023-11-26,xXr4Z7HAZCE,"33,015,232",華語
2026-08-19,抖音熱歌榜,14,枫,周杰伦,十一月的萧邦,2005-11-01,qzwsQTY-99o,"83,568,153",華語
2026-08-19,抖音熱歌榜,15,富士山下,陈奕迅,What's Going On...?,2006-11-23,JDpRnPef5qQ,"30,278,604",華語
2026-08-19,抖音熱歌榜,16,阴天,莫文蔚,You Can,1999-04-20,tYWufUugeUc,"16,681,900",華語
2026-08-19,抖音熱歌榜,17,明天过后,张杰,听！我们的歌,2020-07-23,ZA0uGRffojo,"1,395,026",華語
2026-08-19,抖音熱歌榜,18,爱出发,TFBOYS,Heart梦·出发,2013-10-04,K6M364hyES8,"5,884,075",華語
2026-08-19,抖音熱歌榜,19,红色高跟鞋,蔡健雅,若你碰到他,2009-08-19,ATblV50Odx8,"66,585,424",華語
2026-08-19,抖音熱歌榜,20,差一步,大壮,差一步,2017-11-11,lA7-x-TlGjM,"5,888,715",華語
2026-08-19,抖音熱歌榜,21,夜曲,周杰伦,十一月的萧邦,2005-11-01,6Q0Pd53mojY,"104,585,019",華語
2026-08-19,抖音熱歌榜,22,开始懂了,孙燕姿,我要的幸福,2000-12-09,h5eRbbOnPRc,"11,097,697",華語
2026-08-19,抖音熱歌榜,23,演员,薛之谦,绅士,2015-06-05,jQu4cJ00UEo,"23,149,980",華語
2026-08-19,抖音熱歌榜,24,最佳损友,陈奕迅,Life Continues,2006-02-18,0fcKEN4_QoM,"7,653,964",華語
2026-08-19,抖音熱歌榜,25,偏爱,张芸京,破天荒,2009-06-03,QDwLjCGdmYM,"18,017,820",華語
